id,abstract_quotation_id,item_description,quantity,unit,unit_price,total_price,created_at
161,39,"PRE-MIGRATION ORIENTATION SEMINAR AND FINANCIAL PLANNING   TRAINING OF TRAINERS   MEALS: AM Snacks, Lunch, PM Snacks with Free Use of Venue   Unit: PCS",1.00,,280000.00,280000.00,Wed Apr 08 2026 16:43:33 GMT+0800 (Philippine Standard Time)
162,40,"PRE-MIGRATION ORIENTATION SEMINAR AND FINANCIAL PLANNING   TRAINING OF TRAINERS   MEALS: AM Snacks, Lunch, PM Snacks with Free Use of Venue   Unit: PCS",1.00,,295000.00,295000.00,Wed Apr 08 2026 16:43:33 GMT+0800 (Philippine Standard Time)
